"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik",14,32,28,18,32,26,45,39,33,37,30,27
"1700003P14Rik",0,1,0,0,0,0,0,0,0,0,1,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",2,0,0,0,0,1,0,1,0,0,0,0
"1700006F04Rik",0,0,0,0,1,0,1,0,0,1,0,0
"1700006H21Rik",0,0,1,0,0,0,0,0,1,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,2,0,0,1,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0,1,0,2
"1700007G11Rik",0,0,2,1,33,34,28,29,38,33,23,11
