"","MD-R-EB-5","MD-R-EB-6","MD-R-EB-7","MD-R-EB-8"
"4933401J01Rik",0,0,0,0
"Gm26206",0,0,0,0
"Xkr4",5.6757,4.9891,5.9057,7.2068
"Gm18956",0.6339,0,0,0
"Gm37180",0.7916,1.0744,0.7645,1.1364
"Gm37363",0.6359,0.8347,0.6756,0.8793
"Gm37686",0.615,0.3027,0.56,0.0895
"Gm1992",0,0,0,0
"Gm37329",0.789,0.6796,0.6286,1.1555
"Gm7341",0.9858,0.7548,1.1636,0.2232
"Gm38148",0.9092,1.1216,0.8586,1.8184
"Gm19938",1.8985,2.2518,1.3887,1.9025
"Gm10568",0,0,0,0
"Gm38385",0,0,0,0
"Gm27396",0,0,0,0
"Gm37381",0,0.0854,0.158,0
"Rp1",0,0,0,0.0168
"Gm6101",0,0,0,0.0553
"Gm37483",0,0,0,0
"Sox17",0.7014,0.7079,0.4968,0.5847
"Gm37587",0.0348,0,0,0
"Gm7357",0,0.0389,0,0.0691
"Gm22307",0,0,0,0
"Gm38076",0,0,0,0
"Gm37323",0.0366,0.042,0.0777,0
"Gm7369",0,0,0,0
"Gm6085",0.483,0.6339,1.0262,1.3357
"Gm6119",0.2523,0,0.3574,0.5998
"Gm25493",0,0,2.0923,0
"Gm2053",0,0.1846,0.3415,0
"Gm6123",4.08,4.4677,3.0239,4.7367
"Mrpl15",51.713,49.3705,53.7559,50.7495
"Gm37144",7.7616,8.4074,8.6202,10.8729
"Lypla1",68.0839,63.9583,79.6574,68.0481
"Gm37988",0,0,0.2612,0
"Tcea1",67.5417,69.8465,65.6447,58.228
"Gm6104",2.6913,1.7386,1.0722,1.371
"Gm37277",2.465,3.0406,2.3277,2.0463
"Rgs20",2.3928,2.4457,2.7453,3.4617
"Gm17100",0,0.4283,0,0.3799
"Gm37079",0.285,0.1091,0.3028,0.0484
"Gm16041",0.4357,0.2814,0.6364,0.5548
"Gm17101",0,0,0,0.1301
"Atp6v1h",29.8587,27.7056,29.6304,29.6144
"Gm7182",0,0,0,0
"Gm37567",0,0,0,0.0453
"Gm38264",0,0.1147,0,0
"Oprk1",0.92,0.9165,1.0598,1.4454
"Gm36965",0,0,0,0
"Gm22463",0,0,0,0
"Gm37429",0,0,0,0
"Npbwr1",0,0.0316,0,0
"Gm19214",0,0,0,0
"Rb1cc1",22.7234,21.7275,23.267,21.9056
"4732440D04Rik",1.8873,1.6739,1.5484,1.8276
"Alkal1",0.4178,0.4799,0,0.745
"Gm2147",0,0,0.6745,0.1617
"Gm7417",0.2144,0,0.4556,0
"Gm19026",0.403,0.18,0.2379,0.2966
"St18",0.0471,0.1442,0.1,0.0799
"Gm42492",0.0696,0,0,0
"Gm7449",0.459,0.1757,0.6501,0.7793
"Gm37108",1.7823,1.6747,1.7213,1.1555
"Gm37275",0,0,0,0
"Gm37225",0,0,0,0
"Gm37489",0,0,2.7108,0.6499
"Gm5694",0.4747,0,0,0.3224
"Pcmtd1",38.566,37.1312,45.1805,41.3878
"Gm26983",3.3984,5.1039,6.6651,5.8593
"Gm38372",14.1267,13.679,14.2315,12.2373
"Gm9826",0.3123,0.5381,0.8295,0.2387
"Nras-ps2",0,0,0,0
"Gm23274",0,0,0,0
"Gm19002",0,0,0.213,0.1021
"Gm26901",3.0156,1.9061,2.235,2.2625
"Gm18984",0,0,0,0
"Gm30414",0.547,0.2244,0.4151,0.1592
"Gm37791",0,0,0,0
"Gm7470",0.0968,0,0,0
"Rps2-ps2",0,0,0,0.1173
"Gm38216",0,0,0,0
"Sntg1",0.3719,0.3738,0.3556,0.2463
"Gm38024",0,0,0,0
"Gm16284",0,0,1.0775,0
"Gm38259",0.0287,0.033,0,0
"Gm23358",0.9221,0,0,0
"Gm37005",0,0,0,0
"Gm15452",5.0715,3.8829,8.0815,8.1809
"Gm36964",8.1964,9.4132,2.1768,7.8286
"Gm24276",0.9221,0,0,1.8789
"Gm6152",0,0,0,0
"Gm7445",0,0,0,0
"Gm7493",0,0,0.3443,0
"Gm37629",0,0,0,0
"Gm38008",0,0,0,0
"Gm37143",0,0,0,0.0317
"Gm6187",0.1057,0.2427,0,0.2153
"Gm18299",0,0,0,0
"Gm7512",0,0,0,0
"Gm24765",0,0,0,0
"Gm18300",0,0.0829,0,0
"Rrs1",168.7862,157.0995,156.9996,164.0888
"Adhfe1",1.4758,1.7566,2.1665,1.859
"2610203C22Rik",0.1239,0.1186,0.395,0.1473
"Gm6161",0,0.3171,0.3911,0
"Vxn",0,0.0358,0,0
"Gm29520",0,0,0,0.0968
"Mybl1",15.115,14.1028,16.6357,15.2271
"Vcpip1",30.5674,29.7523,32.2298,30.9621
"1700034P13Rik",0.2944,0.263,0.0695,0.1666
"Sgk3",4.5502,4.2083,5.632,5.2857
"Gm6195",0.8524,2.9367,1.2073,1.1578
"Gm22607",0,0,0,0.9842
"Mcmdc2",6.9609,8.4865,6.9213,8.332
"Snhg6",132.054,132.7516,135.9607,144.6366
"Snord87",107.2595,78.9976,99.0833,99.7742
"Tcf24",1.524,2.2503,2.467,2.6863
"E330040D14Rik",0,0.0848,0.1568,0.376
"Ppp1r42",0,0,0.1415,0.0679
"Gm15818",0,0,0,0
"Gm24674",0,0,0,0
"Cops5",91.7881,91.0004,88.4113,93.3221
"Cspp1",22.5998,20.7784,21.6206,21.3704
"1700047N06Rik",2.7563,1.646,0.937,1.1232
"Arfgef1",44.0833,41.1382,45.7556,46.1723
"Gm26348",2.1131,0.9707,3.5918,2.5834
"Gm37569",2.0616,1.0824,2.0024,1.6203
"Cpa6",0,0,0.063,0.0151
"Gm38005",0,0,0,0
"Gm15604",0.0697,0.16,0.444,0.3549
"Gm25253",0,0,0,0
"Gm15603",0,0,0,0
"Gm37133",0,0,0.1121,0
"Gm5522",0.245,0.1876,0,0.3328
"Gm28659",0,0,0.2839,0
"Gm22963",0,0,0,0
"Prex2",8.11,7.0837,8.914,8.1008
"Gm24173",0,0.9101,1.6836,3.2293
"Gm28686",1.6655,0.1913,0.3539,1.3575
"Gm37410",0.0334,0.1917,0,0
"A830018L16Rik",6.3732,5.4546,7.9322,8.1698
"Gm38178",3.8585,4.0071,5.7561,4.3075
"Gm29273",0.7743,0.8892,0,0.7888
"Gm38069",0.2365,0.326,0.5026,0.5302
"Gm7560",0.3486,0,0,0.1184
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",0.5028,0.433,0.267,0.8964
"Gm6216",0,0,0,0.3008
"Gm17644",0.0317,0,0.0673,0
"Gm29663",0,0,0,0
"Sulf1",45.2367,46.2177,52.3023,51.8152
"Slco5a1",3.8991,3.7331,2.9692,2.5329
"Gm37162",0,0,0,0.1875
"Gm5250",0.316,0,0.6714,0
"Gm29283",2.4653,0.8089,0.7483,0.3588
"Prdm14",16.1798,13.7659,8.9934,6.4888
"Ncoa2",23.7462,21.5594,21.5203,18.7953
"Gm38376",2.206,1.2926,1.7218,1.7888
"Gm37409",1.4347,1.0746,0.9278,0.8897
"Gm27881",0,1.4206,2.6281,1.2602
"Gm38223",0.5838,0.5028,0,0.5947
"Gm37702",1.6255,0.8089,1.1512,1.5456
"Gm23169",0,2.0801,3.8483,1.8453
"Gm38120",1.3547,1.5558,0.9749,1.1576
"Gm38380",1.9402,1.71,1.2463,1.7468
"Gm29570",0.1489,0,0.6329,0.607
"Gm7593",1.4175,2.1706,2.0078,1.9255
"Tram1",154.8077,148.7598,173.3182,159.6471
"Lactb2",41.8738,40.6407,33.0858,32.5448
"Gm38319",4.086,2.9444,1.7023,2.1223
"Xkr9",0,0,0,0.0537
"Gm26273",0,0,0,0
"Gm5523",3.0521,2.6873,4.3231,3.2131
"Gm36947",0,0,0,0
"Gm25491",0,0,0,0
"Gm37400",0.0281,0,0.1196,0
"Eya1",2.0525,1.7754,2.7325,2.422
"Gm22616",0,0,0,0
"Gm37444",0.4621,0,0,0.4708
"Gm9947",1.0524,0.8493,0.4835,0.5216
"Msc",10.1191,6.1309,3.9783,3.1659
"Gm37412",0.0939,0.1618,0.1995,0.0957
"Smt3h2-ps4",0,0,0,0
"Rpl5-ps1",3.971,4.1696,10.3655,4.9704
"Trpa1",4.0924,5.0279,6.3191,6.2783
"Gm26345",0,0,0,0
"Gm10566",4.5827,5.6139,7.1403,4.0464
"Kcnb2",0.0268,0.023,0,0.0341
